"name,""weekday"",""income"""
Michael O'Leary,WEDNESDAY,134525041
Michel DeFrance,WEDNESDAY,439203901
Morningstar Greene,WEDNESDAY,64838804
Reginald Blotchet-Halls,WEDNESDAY,80548671
Sheryl Hunter,WEDNESDAY,140290965
Stearns MacFeather,WEDNESDAY,24953855
Sylvia Panteley,WEDNESDAY,85876351
Abraham Bennet,THURSDAY ,226133921
Albert Ringer,THURSDAY ,405676715
Ann Dull,THURSDAY ,36627442
Anne Ringer,THURSDAY ,55678731
Burt Gringlesby,THURSDAY ,103250742
Charlene Locksley,THURSDAY ,102081558
Cheryl Carson,THURSDAY ,70730736
Dean Straight,THURSDAY ,182913508
Dirk Stringer,THURSDAY ,693463721
Heather McBadden,THURSDAY ,289587876
Innes del Castillo,THURSDAY ,247744631
Johnson White,THURSDAY ,91715665
Livia Karsen,THURSDAY ,168820566
Marjorie Green,THURSDAY ,90204716
Meander Smith,THURSDAY ,56688841
Michael O'Leary,THURSDAY ,130193803
Michel DeFrance,THURSDAY ,481154817
Morningstar Greene,THURSDAY ,61407062
Reginald Blotchet-Halls,THURSDAY ,89971578
Sheryl Hunter,THURSDAY ,148434253
Stearns MacFeather,THURSDAY ,22585497
Sylvia Panteley,THURSDAY ,91590683
Abraham Bennet,FRIDAY   ,233935361
Albert Ringer,FRIDAY   ,357492149
Ann Dull,FRIDAY   ,37433122
Anne Ringer,FRIDAY   ,51753352
Burt Gringlesby,FRIDAY   ,109360163
Charlene Locksley,FRIDAY   ,97761375
Cheryl Carson,FRIDAY   ,80473505
Dean Straight,FRIDAY   ,176048825
Dirk Stringer,FRIDAY   ,672023524
Heather McBadden,FRIDAY   ,245868794
Innes del Castillo,FRIDAY   ,231816498
Johnson White,FRIDAY   ,91757930
Livia Karsen,FRIDAY   ,172939429
Marjorie Green,FRIDAY   ,99954937
Meander Smith,FRIDAY   ,53551958
Michael O'Leary,FRIDAY   ,142326764
Michel DeFrance,FRIDAY   ,473980679
Morningstar Greene,FRIDAY   ,62929145
Reginald Blotchet-Halls,FRIDAY   ,96796982
Sheryl Hunter,FRIDAY   ,158669557
Stearns MacFeather,FRIDAY   ,28022436
Sylvia Panteley,FRIDAY   ,91390801
Abraham Bennet,SATURDAY ,219357051
Albert Ringer,SATURDAY ,359055422
Ann Dull,SATURDAY ,37658782
Anne Ringer,SATURDAY ,48579238
Burt Gringlesby,SATURDAY ,108212069
Charlene Locksley,SATURDAY ,100507642
Cheryl Carson,SATURDAY ,69224918
Dean Straight,SATURDAY ,176094744
Dirk Stringer,SATURDAY ,724561952
Heather McBadden,SATURDAY ,260891531
Innes del Castillo,SATURDAY ,245765313
Johnson White,SATURDAY ,91955960
Livia Karsen,SATURDAY ,142421335
Marjorie Green,SATURDAY ,95303143
Meander Smith,SATURDAY ,53094398
Michael O'Leary,SATURDAY ,131118669
Michel DeFrance,SATURDAY ,480574641
Morningstar Greene,SATURDAY ,64598715
Reginald Blotchet-Halls,SATURDAY ,92451664
Sheryl Hunter,SATURDAY ,143802265
Stearns MacFeather,SATURDAY ,27623848
Sylvia Panteley,SATURDAY ,87097890
Abraham Bennet,SUNDAY   ,232328748
Albert Ringer,SUNDAY   ,362985487
Ann Dull,SUNDAY   ,34138288
Anne Ringer,SUNDAY   ,49050829
Burt Gringlesby,SUNDAY   ,112782281
Charlene Locksley,SUNDAY   ,93745117
Cheryl Carson,SUNDAY   ,69553596
Dean Straight,SUNDAY   ,176873006
Dirk Stringer,SUNDAY   ,698820601
Heather McBadden,SUNDAY   ,266458385
Innes del Castillo,SUNDAY   ,244679492
Johnson White,SUNDAY   ,88933984
Livia Karsen,SUNDAY   ,137975385
Marjorie Green,SUNDAY   ,104815534
Meander Smith,SUNDAY   ,56678280
Michael O'Leary,SUNDAY   ,125981635
Michel DeFrance,SUNDAY   ,438321489
Morningstar Greene,SUNDAY   ,68473054
Reginald Blotchet-Halls,SUNDAY   ,80496473
Sheryl Hunter,SUNDAY   ,148514539
Stearns MacFeather,SUNDAY   ,27431435
Sylvia Panteley,SUNDAY   ,95337213
